candidate	operation	route_state	exact_route	required_state	owner_traffic	provenance	failure_cleanup	fact_behavior	c0_dependency	reference_events	forced_delta	safety_status	boundedness	growth_convergence_risk	unresolved	falsifier
SR-CLOSED	lookup	CLOSED	ByteTagSparse.lookup performs group match, validates FULL at the selected slot, invokes equality on that payload only, and terminates on EMPTY.	Stable root, version, control region, payload region, capacity, and closed ByteTagSparse profile.	No payload owner moves.	A profile-specific Hit token binds root, version, slot, and payload place; hash and integer index grant nothing.	Hash or equality exceptional exit leaves the table unchanged.	Profile-specific GroupCandidates, Occupied, KeyHit, and ProbeStop facts have mutation and root invalidators.	GROUP-MATCH-1.	Reference group loads, tag tests, equality calls, and probe advance only.	None identified.	All paper obligations enumerated; no formal proof.	Finite per-profile lookup rule.	Every new control encoding duplicates lookup and fact rules; remains C but has high catalog-growth risk.	Generated code shape and formal fact soundness.	A second sparse representation requires an unbounded or project-named lookup variant.
SR-CLOSED	vacant insertion	CLOSED	ByteTagSparse.find_vacant issues a profile-specific VacantEntry token; insert_no_grow and insert_grow perform fixed commits.	Stable or Grow phase plus selected EMPTY or DELETED slot and exact offered owners.	No-grow moves key and value once; grow stages each old payload once and moves the offered pair once.	VacantEntry binds root, version, slot, old control class, and offered owners; result borrow re-roots to the committed value place.	Precommit call or allocation failure preserves old table and offered owners; postcommit has fixed completion and no escaped token.	Vacancy facts invalidate on commit; new Occupied and result facts publish at the new version or root.	ROOT-ALLOC-1 for growth; GROUP-MATCH-1 for probe.	Reference probe, one payload write, control/counter updates, and only the reference growth allocation and relocations.	None identified.	All paper owner outcomes enumerated; no formal proof.	Finite ByteTagSparse entry and growth rules.	Insertion sequencing is repeated for every profile and entry form; high catalog-growth risk.	Formal logical-commit refinement over physical write order.	A required no-grow insertion needs an extra persistent tag, rollback scan, or payload copy.
SR-CLOSED	replacement	CLOSED	ByteTagSparse.replace and replace_with define duplicate-key retention, displaced-value return, and the callback Some or None branches.	Stable occupied slot or profile-specific Replace phase.	Ordinary replacement consumes offered key, installs new value once, and returns old value; callback branch takes one owner and restores or removes it.	OccupiedEntry and returned borrow rules are profile-specific and version-bounded; owned results carry no table borrow.	Pre-match failure changes nothing; profile rule fixes callback exceptional cleanup and both branch outcomes.	Occupancy may transfer only in the restore branch; content, borrow, and key-hit facts invalidate at transition entry.	None beyond GROUP-MATCH-1 for the preceding lookup.	Reference equality, one owner exchange or take, optional restore, and no allocation.	None identified.	All paper dispositions enumerated; no formal proof.	Finite per-profile replacement variants.	Callback and result variants multiply the profile operation catalog; high catalog-growth risk.	Formal callback-effect and exceptional-exit validation.	One owner can be observed live both in the slot and callback or lacks a unique disposition.
SR-CLOSED	removal	CLOSED	ByteTagSparse.remove moves the owner out, runs the profile's EMPTY-versus-DELETED rule, and consumes the occupied token.	Stable occupied slot and neighboring group summaries under one version.	Stored key and value move once to the result; no payload drop in place.	OccupiedEntry binds exact slot; consumption invalidates all derived references; result is owned.	Miss changes nothing; found removal completes without recoverable post-take failure.	Old Occupied and probe facts invalidate; profile-specific tombstone and growth facts publish together.	GROUP-MATCH-1 for group emptiness masks.	Reference owner read, two group observations, control update, and counter updates only.	None identified.	All paper transition obligations enumerated; no formal proof.	Finite per-profile erase rule.	Deletion reachability rules repeat for each probing profile; high catalog-growth risk.	Formal proof that the profile tombstone rule preserves probe reachability.	Preserving lookup requires an extra scan, metadata bit, or profile-name exception.
SR-CLOSED	rehash	CLOSED	ByteTagSparse.resize and rehash_in_place explicitly enumerate staged-byte relocation, transition-DELETED live interpretation, restore, move, swap, commit, and partial cleanup.	Resize old/new roots and progress, or an exclusive profile-specific Rehash phase with pending-live slots.	Resize stages each live payload once and transfers liveness at commit; in-place branch restores, moves, or swaps one accounted owner at a time.	All old tokens invalidate at phase entry; resize survivors re-root at commit; in-place survivors receive the new same-root version.	Allocation failure preserves old owners; resize abort discards non-owner staged bytes; in-place exceptional exit destroys each pending-live owner once and preserves processed FULL owners.	Pre-rehash facts invalidate; phase facts do not escape; final occupancy, probe, growth, and root facts publish only at commit.	ROOT-ALLOC-1 and GROUP-MATCH-1.	Reference one growth allocation for resize, one staged relocation per live payload, old-root release, or reference in-place scan/move/swap/cleanup.	None identified.	All paper phases and cleanup outcomes enumerated; no formal proof.	Finite but large profile-specific rehash automaton.	Every representation duplicates the largest state machine; highest catalog and review-growth risk.	Formal validation of staged-byte non-ownership and partial-progress cleanup.	A new sparse profile cannot reuse rehash without project recognition or another full operation catalog.
SR-PROFILE	lookup	CLOSED	SPARSE-AUTOMATON-1 uses the selected profile's closed control classifier, slot map, group summary, and probe transition to issue candidates, Occupied tokens, and ProbeStop.	Stable(profile, root, version) with compiler-known control classes and checked regions.	No payload owner moves.	Occupied(root, version, slot, place) is produced only by the automaton's live-class rule; KeyHit adds equality evidence but no new place authority.	Behavior-call exceptional exit preserves Stable unchanged.	Generic fixed fact kinds are parameterized only by compiler-known profile ID, root, version, and slot; listed mutations invalidate them.	GROUP-MATCH-1.	Reference group loads, masks, equality calls, and probe transition only.	None identified.	All paper rules enumerated; no formal proof.	One closed automaton schema and finite compiler-owned profile table.	New profiles add data rows only if they fit the schema; schema extension remains a language change, so it stays distinct from B and A.	Formal automaton and fact-schema proof; evidence from a second independent sparse demand.	A required control relation cannot be expressed without a writer predicate or a new transition kind.
SR-PROFILE	vacant insertion	CLOSED	SPARSE-AUTOMATON-1 issues Vacant(root, version, slot, old_class); INSERT-1 consumes it through prepare, logical commit, counter transfer, and result publication.	Stable plus non-escapable Insert phase; optional Resize phase for growth.	No-grow moves offered owners once; resize stages each old payload once and commits one offered pair.	Vacant and result tokens carry exact root/version/slot/place; growth re-roots only at successful commit.	Precommit call or ROOT-ALLOC-1 failure returns unchanged table and offered owners; abandonment before commit has fixed owner return; commit is exact-use.	Vacancy and probe facts invalidate at phase entry; Occupied and result facts publish only at successful commit.	ROOT-ALLOC-1 for growth and GROUP-MATCH-1 for probing.	Exactly the reference probe, payload write, control/counter changes, and conditional growth events.	None identified.	All paper owner, commit, and abandonment rules enumerated; no formal proof.	INSERT-1 is one finite template instantiated only by admitted profiles.	Bounded template/profile cross-product; no ordinary open composition.	Formal refinement of hidden intermediate writes and exact counter equations.	Supporting EMPTY and DELETED insertion requires a persistent phase tag or an unlisted cleanup program.
SR-PROFILE	replacement	CLOSED	REPLACE-1 consumes Occupied and offered owners, selecting fixed keep-key value exchange, callback restore, or callback remove outcomes.	Stable plus non-escapable Replace phase with one taken owner and a closed outcome enum.	Each offered, retained, displaced, returned, restored, or removed owner has one table-driven disposition.	Owned result detaches; restored entry and borrow tokens are reissued at the new version from the exact slot place.	Pre-match failure is unchanged; declared behavior outcome selects one fixed cleanup/commit row; abort produces no subsequent access authority.	Occupancy survives only rows that restore FULL; content and borrow facts always invalidate; removal rows transfer to vacancy/probe facts.	None beyond GROUP-MATCH-1 for lookup.	Reference equality and one owner exchange, take, restore, or removal; no allocation.	None identified.	All paper outcome rows enumerated; no formal proof.	One closed REPLACE-1 outcome table shared by admitted sparse profiles.	Adds a bounded template rather than an operation copy per profile; remains C because libraries cannot add outcomes.	Formal callable-effect validation and whether recoverable callback failure is needed beyond the frozen slice.	An admitted profile needs a replacement outcome outside the closed owner-disposition table.
SR-PROFILE	removal	CLOSED	REMOVE-1 consumes Occupied, moves the owner out, asks the profile's finite erase classifier for EMPTY or DELETED, and commits counters and facts.	Stable occupied slot plus checked group summaries and one Remove phase.	Stored owner moves once to the result.	Removal consumes all slot tokens; result is owned; no same-address fact survives the version change.	Miss preserves Stable; after owner take, the fixed transition has no recoverable branch and must complete.	Occupied and reachability facts invalidate; selected vacant class, growth, and probe facts publish at commit.	GROUP-MATCH-1.	Reference owner read, group masks, control update, and counter changes only.	None identified.	All paper transition rules enumerated; no formal proof.	REMOVE-1 plus a finite per-profile erase-classifier row.	Profile row growth is bounded by admitted control/probe forms; no user-supplied reachability predicate.	Formal proof of each admitted erase classifier.	A profile's correct erase choice needs arbitrary program logic, a whole-table scan, or an extra metadata bit.
SR-PROFILE	rehash	CLOSED	RELOCATE-1 and REHASH-1 define resize staging and liveness transfer plus phase-local pending-live interpretation, restore, move, swap, commit, and partial cleanup.	Exclusive Resize(old,new,progress) or Rehash(root,version,phase,progress,displaced) state; transition classes are compiler-known.	Resize stages each live payload once then transfers liveness atomically; in-place transitions keep exactly one owner per slot or displaced token.	All old access invalidates at entry; successful resize re-roots, in-place reissues same-root new-version tokens, and phase tokens never escape.	ROOT-ALLOC-1 failure is precommit; staged bytes are discarded without drop; REHASH-1 exceptional cleanup destroys pending-live owners once and preserves processed FULL owners.	Only phase facts authorize pending-live payloads; final facts publish after exact completion and all pre-phase facts remain invalid.	ROOT-ALLOC-1 and GROUP-MATCH-1.	Exactly the reference allocation/relocation/release or in-place scan/restore/move/swap/cleanup events.	None identified.	All paper phases, invariants, and cleanup rows enumerated; no formal proof.	Two fixed templates over finite profile transitions.	Largest checker table but bounded; adding arbitrary transition programs would converge to B/A and is forbidden.	Formal proof of loop invariants, staged-byte validity, and partial-progress cleanup; later independent profile evidence.	A required sparse rehash cannot fit the finite phase and transition enum without a structural tax.
SR-ORTHOGONAL	lookup	CONVERGES-B	A library composes generic ControlRelation, GroupView, Probe, PlaceAccess, and FactProducer components to describe lookup.	Writer-selected relation and component composition over one root.	No owner traffic if the composition is valid.	Generic PlaceAccess derives a payload place from the supplied relation.	Generic behavior-effect closure preserves the relation on failure.	Writer-composed fact producers and invalidators.	A generic group leaf comparable to GROUP-MATCH-1.	Can match reference events on paper.	No runtime delta identified, but authority comes from open composition.	Potentially safe only after validating an open composition calculus.	Finite components but an open cross-product selected by ordinary libraries.	This is Candidate B's orthogonal algebra; allowing arbitrary predicates further converges to A.	A bounded public admission rule for arbitrary sparse relations.	Closing composition without B/A authority requires adding profile-specific compiler recognition.
SR-ORTHOGONAL	vacant insertion	CONVERGES-B	A library composes generic Vacancy, ExactUse, Initialize, Commit, ReRoot, and ResultBorrow components.	Writer-composed transition graph and cleanup relation.	Can describe one offered-owner move and staged growth relocation.	Generic tokens derive from the supplied root/place relation.	Library-selected commit and cleanup graph accounts for failure and abandonment.	Generic facts transfer through the composed graph.	Generic allocation and group leaves.	Can match reference events on paper.	No runtime delta identified, but semantic authority depends on open composition.	Potentially safe only after proving the general component calculus.	Open composition admits unbounded algorithms despite a finite primitive vocabulary.	Converges to B; arbitrary cleanup or relation proof converges to A.	Exact rejection boundary for malformed transition graphs.	Restricting graphs enough for local checking excludes the Hashbrown growth path or recreates SR-PROFILE.
SR-ORTHOGONAL	replacement	CONVERGES-B	A library composes Take, Replace, Return, Restore, Remove, CallbackEffect, and ExactCleanup components.	Writer-selected outcome graph.	Can express all observed owner dispositions.	Generic result maps refer to composed place identities.	Library graph selects exceptional and abandonment cleanup.	Generic invalidators attach to graph edges.	Generic group leaf for lookup only.	Can match reference owner traffic.	No runtime delta identified, but each new outcome graph extends semantic composition.	Potentially safe only under a general graph verifier.	Finite nodes with open graph topology and outcome set.	Converges to B; proof-carrying arbitrary callbacks push toward A.	Termination, exact-use, diagnostic, and graph-equivalence rules.	A finite fixed graph catalog suffices without turning back into SR-PROFILE.
SR-ORTHOGONAL	removal	CONVERGES-B	A library composes Take, ControlWrite, ReachabilityPreserve, CounterTransfer, and Return components.	Writer-selected erase relation over group summaries.	Can express one owner return.	Generic occupied token is consumed through the relation.	Composed graph has no post-take failure edge.	Generic reachability facts follow writer-supplied relation.	Generic group leaf.	Can match reference group tests and control update.	No runtime delta identified, but reachability authority is open.	Potentially safe only after validating arbitrary erase relations.	Open relation space even with finite transition primitives.	Converges to B; a general proof of reachability is A-like.	Public admission without project recognition, scans, or general theorem proving.	A fixed local relation schema covers all needed erase policies without becoming SR-PROFILE.
SR-ORTHOGONAL	rehash	CONVERGES-B	A library composes Partition, StageBytes, Relocate, Swap, PhaseClass, LoopInvariant, PartialCleanup, ReRoot, and Commit components.	Writer-defined phase graph, loop invariant, and cleanup traversal.	Can describe the reference traffic if the invariant is accepted.	Generic phase and root tokens derive from composed relations.	Library-supplied partial-progress cleanup destroys the set named by its invariant.	Generic fact transfer consumes writer-defined phase proofs.	Generic allocation and group leaves.	Can match reference allocation, move, swap, and cleanup events.	No runtime delta identified, but the required semantic proof is open-ended.	Requires a general transition/invariant verifier rather than a closed family table.	Unbounded graph, loop, and invariant space.	Converges to B immediately and to A if arbitrary invariants are proof-indexed.	Checker decidability, proof size, diagnostics, termination, and AI reliability.	A finite component grammar expresses rehash without either excluding a branch or recreating REHASH-1.
