capability_id	dimension	proof_obligation	caller_contracts	current_xlang_status	current_evidence_or_blocker	semantic_minimum	protected_performance_rule	family_lock_scope
ST-FULL	live-set topology	A fixed owner proves every slot contains a valid T for its whole lifetime.	fixed arrays; fixed buffers; static tables	established_narrow	TYPE-2 and STOR-1 establish fixed fully initialized array/buffer storage, but elements are Copy-only.	Checked allocation and full initialization; all indexes bounds checked; exact owner free.	Preserve the existing two-word buffer and one allocation; add no capacity, occupancy, generation, or sharing metadata.	protected baseline
ST-AOS	record layout	A contiguous fixed owner may contain record values without silently cloning resource ownership.	fixed AoS record buffers; FFI-shaped records; row scans	gap	TYPE-2 rejects record elements; SoA P2 is measured but does not preserve the AoS contract.	Admit the frozen record ownership class and field access while preserving one allocation and contiguous rows.	AoS must remain expressible; no claim that it globally replaces SoA.	dense family prerequisite
ST-DENSE	live-set topology	The owner proves exactly one live prefix [0,len) and an inaccessible non-T tail.	growable sequence; heap; byte/text builder; dense stack	gap	Current buffer length is allocation length and all slots are live T.	Only live slots may be read, borrowed, moved, or dropped; spare capacity is neither readable nor droppable as T.	No per-slot occupancy metadata or branch is charged when prefix proof state suffices.	dense family
ST-RING	live-set topology	The owner proves a wrapped live range representable as at most two intervals.	deque; bounded ring; alternating-end queue	gap	A simple dense prefix makes front removal O(n); a generic sparse encoding would add avoidable metadata.	Checked logical-to-physical mapping, two-slice exposure, wrap/rebalance, and exact live-slot drop.	No per-slot sparse tag on the canonical ring path unless Lock A measures and selects it.	deque family
ST-SPARSE	live-set topology	The owner proves an arbitrary occupied set and ties every readable payload to checked occupancy state.	hash map/set; recyclable pool; slab	gap	No partial initialization or occupancy-to-payload relation exists; split control/payload would create a new fact channel.	Atomic checked Full/Vacant transitions, exact live-slot destruction, and unforgeable metadata/payload coherence.	Do not charge dense or append-only paths for sparse metadata.	sparse family
ST-DEPENDENT	live-set topology	One owner may prove several related live ranges whose bounds depend on each other.	B-tree node; ECS aligned columns; multi-buffer transaction	gap	Current owners have one fixed fully live range; no cross-buffer invariant can be sealed from clients.	Checked relation establishment and atomic preservation across split, merge, migration, and failure.	Do not require a universal bitmap when compact dependent counters prove the state.	ordered and stable-identity families
ST-HOLE	transient topology	A transition may own an inaccessible hole or source/destination live ranges without exposing invalid T.	direct relocation; stable compaction; gap sequence; node split	gap	Current partial move kills the root and cannot reinitialize it; an affine token may be abandoned.	Every normal exit or permitted abandonment already leaves a valid owner, or exact-use/derived cleanup is separately proven.	Direct element traffic remains a measured selection axis; adjacent-swap or rebuild simulations do not get free equivalence.	dense and later implicated families
ST-REFINE	value validity	Live bytes may additionally carry a checked refinement such as UTF-8 validity.	String; text slices; validated protocol values	gap	Initialization alone does not establish a refinement type or seal/invalidation path.	Only checked constructors/transitions mint the refinement; every byte mutation invalidates or re-establishes it.	Reuse byte storage without charging raw byte sequences for text validation or metadata.	text family
OW-INIT	ownership transition	Move one affine value into dead storage exactly once.	push; vacant insert; partial construction	gap	Buffers reject affine elements and expose no dead storage state.	Destination becomes live only after the value is written; failure returns or preserves the offered owner.	No hidden Copy/Clone and no preconstructed spare T.	dense and sparse families
OW-MOVEOUT	ownership transition	Move one affine value out while atomically changing its slot to a non-readable state.	pop; remove; occupied-entry removal; box extraction	gap	OWN-1 kills the whole root on partial move and forbids reinitialization.	Returned value has one owner; the source slot is no longer read or dropped; surrounding owner remains valid.	O(1) pop/swap-remove and family-specific remove bounds must remain attainable.	dense, sparse, recursive families
OW-REPLACE	ownership transition	Move a new value into one live place and return the old value with two-transfer traffic.	replace; entry replacement; backpatch affine field	gap	No sanctioned take/replace; swap-based simulation can add traffic and cannot leave a hole.	The place remains live across the public operation; neither value is silently dropped or cloned.	Price against direct two-transfer relocation, not a three-swap implementation.	dense prerequisite
OW-SWAP	ownership transition	Exchange two runtime-proven-disjoint live affine places.	sort; heap repair; graph rewiring; dynamic swap	partial_copy_only	Copy values can be staged manually, but OWN-7 conservatively overlaps dynamic indexed places and affine elements are absent.	Checked distinctness proves two exclusive places for the operation and expires after mutation.	No hidden allocation or whole-container rebuild; element traffic is counted.	dense and access families
OW-RELOCATE	ownership transition	Move a live range to nonoverlapping or overlap-safe destination storage without source drops.	growth; insert/remove shift; make-contiguous; drain repair; compaction; rehash; node split	gap	No general affine storage or raw-free-after-move transition exists.	Each source ownership reaches exactly one destination; partial completion and overlap direction are proved.	Direct relocation byte model is the structural baseline.	dense and implicated families
OW-CLONE	ownership transition	Explicitly duplicate values or update a live destination through a callable clone/clone-from contract, with exact partial-progress validity.	deep clone; repeat; to-owned; in-place clone-from	partial_copy_only	Copy elements duplicate implicitly; no general callable Clone path, in-place clone-from path, or partial-clone validity proof exists.	A fresh clone creates exactly one new owner; in-place clone-from may reuse destination resources but leaves the destination valid at every normal callback boundary. Cloning is distinct from relocation, replacement-return, and unconditional whole-value drop.	Never infer clone from storage relocation; charge calls, allocation, partial cleanup, and destination reuse without imposing a mandatory drop/reallocation tax on clone-from.	dense and behavior families
OW-DROP	ownership transition	Destroy exactly the live payloads and free every owned allocation once.	clear; truncate; rejected duplicate; displaced value; owner drop; partial construction; recursive destroy	partial	STOR-3 derives owner drops on normal exits, but current buffers contain Copy elements and no partial live set exists.	Drop decisions come only from kernel-owned proof state; moved-from or dead slots are never dropped.	No full-capacity drop scan for dense-prefix storage; bounded-stack recursive destruction remains a witness.	all owning families
EX-NORMAL	exit/destruction	Every fallthrough, return, break, give, and recoverable error propagation closes owner invariants.	all owning and cursor contracts	partial	STOR-3 covers current whole owners; it does not repair a hole-bearing owner or force an affine token to finish.	Every non-trap exit leaves reachable owners valid and satisfies the selected exact-destruction policy.	No mandatory cleanup callback on the hot path unless selected and measured.	global law
EX-ABANDON	exit/destruction	Dropping or forgetting an affine protocol value cannot strand invalid representation state.	drain; splice; rebuild; entry/cursor guards	gap	Affinity prevents copies but permits abandonment; xlang has no user finalizer.	An abandonable value already owns a valid post-state, is exact-use, or has compiler-derived cleanup with explicit semantics.	Writer discipline or a conventional finish call never counts.	dense and cursor families
EX-ABORT	exit/destruction	A trap aborts without cleanup but performs no invalid read or undefined behavior first.	all trapping operations	established	EFF-4 defines trap-to-abort with no unwinding.	No recoverable post-state or drop is owed after the trap edge; pre-trap memory safety still holds.	Do not import Rust unwind cleanup costs into xlang measurements.	protected global rule
BR-PROV	borrow/provenance	Every borrowed leaf retains exactly one access-provenance root, place, and region and cannot outlive that storage; an aggregate or protocol state may carry a finite product or tagged sum of independent singleton leaf relations.	slices; element references; projected guards; composite iterators	established_narrow	OWN-5/6/10 and theorem T-A establish current lexical borrow provenance.	Each borrowed leaf identifies its actual storage root; guard bookkeeping, cursor authority, and aggregate structure never substitute for that root or retarget the leaf.	Proof metadata should erase; no runtime provenance field on ordinary physical borrows.	access prerequisite
BR-REBORROW	borrow/provenance	Repeated calls through one uniq owner create bounded reborrows without consuming the original permanently.	container method chains; recursive traversal; unique drains and returned cursors	selected_unimplemented	The design tree greenlights reborrow-through-holder, but v0 consumes uniq borrows at calls.	A child borrow is bounded by the parent and cannot be used to retarget or escape it.	No runtime borrow object or refcount on the static path.	access family
BR-RESULT	borrow/provenance	A function may return borrow-bearing values or source-borrowing protocol state under an exact provenance expression over declared input and callable-capture relations.	get; first; entry view; iterator next; returned cursor; zip tuple	selected_unimplemented	Result reborrow is greenlit in the design tree but not implemented.	Each returned borrow leaf selects exactly one allowed source; product fields and sum branches retain their own tags; aggregate formation never merges, swaps, or widens provenance.	No runtime owner lookup for physical borrows.	access family
BR-STORED	borrow/provenance	An arbitrary retained value field or payload may contain borrow leaves whose relations survive storage across public calls, owner moves, projection, admitted relocation, return, and destruction.	reference-valued seed; callable environment; scan State; cached Item; collection payload	gap	Current buffers admit only Copy, region-free elements; no general aggregate or container transition preserves a payload-internal borrow relation.	Every contained borrow remains tied to its source owner and region; storage never extends its lifetime; relocation preserves provenance; every source or structural mutation that invalidates the borrow is rejected while the value remains live. This includes source seeds, callable environments, scan state, cached Items, and collection payloads. Opaque nested cursor authority is BR-CURSOR only while moved and used solely through its sealed protocol; arbitrary storage or projection requires BR-STORED.	Static lifetime and provenance proofs erase; region-free values acquire no runtime lifetime field, borrow table, relocation check, or code path.	stored-borrow family
BR-DISJOINT	borrow/provenance	Checked access-footprint evidence may prove one or more writes disjoint from every live incompatible shared or unique access.	swap; get-many-mut; RefMut split; non-lending unique iteration; graph rewiring; arena placement	gap	OWN-7 proves only unequal literal indices and conservatively overlaps slices; it cannot preserve an old payload borrow across a fresh disjoint write.	Static freshness/topology, cursor progression, or checked runtime partition/distinctness yields scoped subplace authority; no result widens authority to the common root, duplicates or overlaps are rejected, and pointer inequality alone is never a proof.	A static proof adds no runtime borrow state or check; a dynamic route retains one validation, then permits direct accesses without per-use alias checks.	access family
BR-INVALIDATE	borrow/provenance	Structural mutation rejects or expires every incompatible element, slice, entry, and cursor borrow.	reserve; remove; rehash; clear; pool reuse	partial	OWN-5 rejects mutation under current borrows, but no structural container facts or logical cursors exist.	Each transition lists physical and logical invalidators; stale proof state cannot authorize access.	Compile-time invalidation for physical borrows; logical-handle checks priced only where their contract needs them.	all owning families
BR-CURSOR	borrow/provenance	One controlling cursor, guard, entry, or placement state, owned or a bounded receiver reborrow, may carry a finite typed field/branch/epoch map of external source authorities and an exact footprint per source.	entry API; projected guard; chain/zip adapter; drain; traversal mutation; arena placement	gap	No general returned reborrow, guard type, exact-use cursor protocol, or footprint-limited placement authority exists.	Moving or nesting cursor state preserves its source map; every yielded leaf keeps its tagged source and no field gains authority outside its footprint. Opaque nested cursor/protocol states may preserve their declared maps under BR-CURSOR. This narrow rule grants no arbitrary borrow-bearing T, State, callable-environment, cached-Item, or collection field; those require BR-STORED. A call-scoped reborrow of cursor state cannot escape. Early exit and abandonment preserve validity. Cursor invalidation ends future-yield authority, while an already yielded external borrow retains its source lifetime unless receiver-bounded.	A logical handle cursor must not pay permanent address-stability cost; a static footprint adds no runtime borrow table.	access and family-specific locks
FL-CAPACITY	failure	All size/capacity arithmetic is checked before under-allocation or state mutation.	allocation; reserve; grow; repeat	established_narrow	OP-9 checks buffer allocation multiplication and traps; no growable capacity arithmetic exists.	Overflow is compile-time rejection, trap, or recoverable error exactly as frozen per operation.	Checks may be proof-elided only through machine-verified facts.	global and family-specific failure
FL-ALLOC	failure	The contract distinguishes allocator failure, OOM policy, and checked capacity failure.	try-reserve; clone; rehash; node split	gap_or_scoped	OP-9 leaves OOM at the TCB level; Rust stable itself exposes inconsistent recoverable allocation.	Family Lock A states which allocation points recover, abort, or remain platform policy and how offered ownership is preserved.	Do not compare recoverable and aborting routes as the same contract.	allocator plus each allocating family
FL-ATOMIC	failure	Recoverable failure occurs before destructive commit or proves complete rollback.	push with growth; insert; clone; rehash; ECS migration	gap	No general partial state or recoverable allocator path exists.	Original owner and offered affine inputs retain their documented state on every recoverable failure.	Rollback metadata and traffic are counted; prepare-before-commit is preferred only if evidence selects it.	all allocating families
FL-CALLBACK	failure	Recoverable behavior errors, early stop, and normal return preserve the exact owner invariant; a trapping behavior performs no invalid access before abort and owes no rollback.	retain; sort comparator; hash/equality; extract-if; composed traversal	gap	No complete callable static behavior or container transition exists.	Normal behavior outcomes run at invariant-safe boundaries or under a checked transition with explicit ownership closure. EFF-4 trap paths have no cleanup or post-state, but cannot read dead storage, double-drop, dangle, or consume stale facts before abort.	Broken logical laws may degrade results or complexity but never memory safety; abort-only repair work is not charged.	behavior plus implicated family
ID-LOGICAL	identity/lifetime	A logical name continues to identify one object across permitted relocation.	append-only pool; graph; stable map handle	proved_pattern_narrow	P2 demonstrates non-reused integer indices for append-only SoA; typed handles and general library support are unimplemented.	The contract states owner/pool scope, relocation behavior, and invalidation event.	Protected append-only access has no generation or recycling branch.	stable-identity family
ID-FRESH	identity/lifetime	Reused storage never silently revives a stale freely copied identity.	recyclable pool; dynamic graph; LRU	gap	Append-only indices avoid reuse; no generation or static revocation route exists.	Finite identity must expose exhaustion, retirement, bounded lifetime, or another explicit relinquished guarantee.	No freshness check on the distinct append-only contract.	stable-identity family
ID-POOL	identity/lifetime	The contract states whether a handle from another owner/pool is rejected or only a logic error.	pool and graph access	partial_policy	The design tree permits same-typed cross-pool misuse as a memory-safe logic bug.	Any stronger provenance promise needs an explicit representation and check budget.	Do not claim free global uniqueness or charge it accidentally.	stable-identity family
ID-ADDRESS	identity/lifetime	A value's physical address remains stable until its specified invalidation/drop boundary.	Pin; self-reference; true intrusive links	deferred_domain	No pin/address-sensitive type exists; logical handles do not imply address stability.	Separate logical identity from address and pre-drop notification.	No pinning or indirection tax on contracts that require only logical identity.	pin/address family
ID-SHARED	identity/lifetime	Payload lifetime, allocation lifetime, strong/weak ownership, and mutation authority are tracked separately.	Rc; Arc; Weak; persistent sharing	deferred_domain	STOR-3 explicitly has no reference counting; shared ownership is out of current scope.	Cycles, weak upgrade, exact resource disposition, and concurrent sharing receive an independent lock.	No reference-count traffic on unrelated statically unique-owner structures; charge every required count operation on shared-owner paths.	shared-ownership and concurrency families
AB-SEAL	abstraction	Clients cannot forge length, capacity, occupancy, balance, or cross-buffer invariant state.	all safe containers	gap	No module/private-field/opaque-construction mechanism exists.	Ordinary libraries can define opaque representation and expose only invariant-preserving operations.	Sealing must erase; no dynamic access-control branch.	module/abstraction prerequisite
AB-BEHAVIOR	abstraction	Equality, hash, order, clone, RangeBounds, iteration, projection, and every other runtime behavior call are statically callable and effectful by default, including calls through a shared receiver.	map/set; sort; clone; range; projection; iter adapters	partial_specified	FN-3 contracts/conform and FN-2 monomorphization are specified, but the complete callable member path is absent.	A normal call boundary preserves every nonconsumed outer owner while the declared behavior and result relations jointly account each leaf that survives, ends, moves, or becomes live; a moved unique leaf ends at its source before destination or result liveness, and temporary reborrows, receiver or field addresses, container storage, and call frames mint no root unless the relation names actual storage. Without a declared relation or verified-body proof, infer no purity, idempotence, repeatability, leaf-map preservation, call elision, duplication, common-subexpression elimination, fusion, or reordering. Broken logical laws remain contained logic, result, complexity, or refinement failures and never relax ownership, provenance, occupancy, liveness, disjointness, or check fact firewalls.	Direct monomorphized calls are the canonical zero-runtime-tax path: no vtable, indirect-call, metadata, or dynamic-dispatch tax.	behavior prerequisite
AB-STATEFUL	abstraction	An owned behavior object may be invoked zero or more times, including a one-shot call or a deliberately uninvoked branch, with explicit ownership, borrow, and provenance effects.	stateful comparator; one-shot closure; hasher; iterator adapter	gap	FN-5 proposes env-struct behavior but typed operation tables and exact calls are deferred.	State ownership, exact invocation count, call-scoped reborrows, effects, and directness are checked. AB-STATEFUL grants no retained-borrow storage: a borrow-bearing callable environment or separate state additionally requires BR-PROV and BR-STORED, and a borrowed output additionally requires BR-RESULT. No temporary reborrow of behavior-owned state may escape.	Direct monomorphized calls; state storage and its provenance map are explicit and move without runtime owner lookup.	behavior family
AB-GENERIC	abstraction	One checked ordinary library definition instantiates over payload and behavior types.	all generic collections	specified_partial_toolchain	FN-2 specifies explicit monomorphization and concrete rechecking; xlc does not yet implement the general layer.	Instantiation cannot bypass ownership or fact checks; representation specialization remains internal.	Charge monomorphized code size as well as call directness.	global prerequisite
IT-SHARED	traversal	Traverse all elements in frozen order through shared borrows.	slice/map/set/list shared iteration	partial_concrete	Index loops cover concrete contiguous cases; no generic iterator protocol or returned reborrow exists.	Each yield has owner provenance; structural mutation is excluded for the traversal lifetime.	Canonical containers retain their required traversal complexity without per-element allocation.	iteration family
IT-UNIQ	traversal	Traverse and mutate elements one at a time without aliasing or losing owner access.	iter-mut; retain; graph mutation	gap	No result reborrow or reusable uniq cursor exists.	Each yielded uniq borrow ends before the next or disjointness is proved; owner validity persists on early exit.	No dynamic borrow table on the static unique-owner path.	iteration and access families
IT-OWN	traversal	Consume an owner and yield each affine element exactly once, then free storage.	into-iterator; drain-all	gap	No affine-element collection or owning cursor protocol.	Unconsumed elements are disposed exactly once on every normal abandonment path.	No clone and no per-element allocation solely for traversal.	iteration plus owning family
IT-COMPOSE	traversal	Ordinary libraries can compose lazy sources, stateful adapters, and consumers without materializing intermediate collections or weakening ownership.	map/filter/zip/flat-map/fold/try-fold pipelines	gap	Concrete index loops are expressible, but no reusable generic cursor/adapter protocol or complete stateful behavior call exists.	Composition preserves source order, progress, early-stop/error ownership, borrow provenance, and exact remaining-value disposition for shared, unique, and owning inputs.	The canonical static route has no adapter heap allocation, no per-element allocation, direct monomorphized behavior calls, O(depth) inline state, and one pass when the contract permits it; code size is charged.	iteration and behavior families
FT-STATE	optimizer fact	Checked live-set state may authorize payload access and check elimination.	dense/sparse/dependent storage	gap	Current facts cover bounds and alias channels, not partial initialization or occupancy.	Fact records producer, proposition, owner/provenance/version scope, invalidators, and consumers.	Facts add no semantic mode switch; facts-off preserves semantics and retains checks.	each implicated family
FT-REFINE	optimizer fact	A checked refinement seal may authorize refined operations without repeated validation.	UTF-8 text; validated protocol values	gap	No refinement fact channel exists.	Only checked validation or preserving transitions mint the fact; raw mutation invalidates it.	No validation tax on raw bytes; no unchecked assertion path.	text and later refinement families
FT-IDENTITY	optimizer fact	A successful identity/occupancy check may authorize scoped repeated access until invalidation.	stable pool; graph cursor	gap	No recyclable identity or logical cursor fact exists.	Fact is tied to pool, slot, generation/version, and mutation epoch as required by the contract.	Append-only handles keep the existing bounds-only path.	stable-identity family
FT-BORROW	optimizer fact	Checked dynamic borrow state may authorize shared or unique payload access and later guard release.	dynamic interior borrowing; projected borrow guards	deferred_domain	Current xlang has static lexical borrows and no runtime borrow-state authority.	Borrow counts and exclusive state are unforgeable, overflow-checked, tied to the cell and every live guard, and changed atomically with access/release; abandonment and deliberate guard leak follow one frozen policy.	No borrow flag, guard traffic, or dynamic check is charged to the static lexical-borrow path.	dynamic-borrow family
FT-SHARED	optimizer fact	Checked ownership counts and lifecycle state may authorize uniqueness, weak upgrade, payload destruction, and allocation release.	shared and weak ownership; uniqueness recovery	deferred_domain	Current STOR-3 has no reference counting, weak ownership, or shared-lifecycle fact.	Strong/weak zero transitions, overflow, payload-live versus allocation-live state, uniqueness, and concurrent memory ordering are unforgeable and reviewed as one lifecycle protocol.	No count field, atomic operation, or reference-count traffic is charged to unique owners.	shared-ownership and concurrency families
NT-FIXED	protected no-tax law	New capability adds no field, branch, check, allocation, or code-size path to fixed full Copy buffers.	current buffer baseline	protected	D11 explicitly protects the existing fixed buffer.	Family evidence includes unchanged source, layout, optimized body, and structural counters.	Exact non-regression control; no universal storage mode flag.	global protection
NT-P2	protected no-tax law	New capability adds no generation, recycling, sparse, sharing, or relocation tax to append-only P2.	append-only AST/DAG/IR pools	protected	D11 separates append-only and recyclable identity.	Family evidence includes unchanged P2 access and machine-code accounting.	Exact non-regression control; no runtime policy flag.	global protection
