obligation_id	record_kind	registry_subject_id	workload_or_operation	role	primary_canary_id	required_crosscut_canary_ids	c_fail_applicability	crosscut_canary_contract	crosscut_canary_source_sha256	closure_owner_or_gate_stage	required_predecessor_family_ids	implicated_family_ids	implicated_rebind_policy	required_efficient_property	g0_status	current_workaround_or_blocker	closure_policy	owner_lock_allowed_dispositions	implicated_rebind_allowed_dispositions	canary_contract	linked_registry_ids	source_identity	source_row_sha256	canary_source_sha256	vocabulary_authority_sha256
G0-ROLE-742C30A07931DF19	CAPABILITY_MATRIX	G0-ROLE-742C30A07931DF19	Fixed buffer of Copy scalars	B	C-FIX	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	ALL-FAMILY-LOCKS	NONE	ALL-FAMILY-LOCKS	EVERY_CANDIDATE_EXECUTES	Full initialization, checked index, one allocation	E	Current `buffer<T>`	PROTECTED_NO_REGRESSION_IN_EVERY_FAMILY_LOCK	PROTECTED_CONTROL	PROTECTED_CONTROL	unchanged scalar-buffer source/IR plus fixed AoS record indexing	B-FIX	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-203	5a82a5370b4b3dafdc536eb54ed04ae4bc7d7a12a16060010d8ce86b77eccb47	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-4D63ABD62AE8F235	CAPABILITY_MATRIX	G0-ROLE-4D63ABD62AE8F235	Fixed AoS record buffer	M	C-FIX	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Contiguous records and scalar field access	X	Record elements are not admitted	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unchanged scalar-buffer source/IR plus fixed AoS record indexing	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-204	9ccc203e1e0c0dde7e7d08cec76e7f900db9df9147fb980a5e133f9482418b5d	1cea3dfce3ff2683100c0e25a181a4c9be8eb7dc47c5084e2a6e0d0520324427	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-F5CADFB4D644C236	CAPABILITY_MATRIX	G0-ROLE-F5CADFB4D644C236	Unknown-length append	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Initialized prefix, capacity, reserve/grow	X	Prefill worst-case capacity and maintain an unrelated count	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-205	b86ac5b658f28805ed6ccdb5138b56b51ca78177a479c572f42b3de45582da5b	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-DF3265C016EE8C06	CAPABILITY_MATRIX	G0-ROLE-DF3265C016EE8C06	Append affine value	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Move once into tail; rejected push returns ownership	X	Buffers are Copy-only	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-206	01a9a9902e4a0e96b3129bcd048319548fd4d810f023557a0248f7c0b1cc0b48	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-72D36A5F3282DF41	CAPABILITY_MATRIX	G0-ROLE-72D36A5F3282DF41	Grow/shrink contiguous sequence	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Failure-atomic allocation and direct relocation	X	Cannot replace backing or suppress moved-from drops	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-207	6e9afa4f416ad0bdab2c9daef48c1bc1fa55285308909ba40c584a78210cfce0	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-D056CF94DE68B8B8	CAPABILITY_MATRIX	G0-ROLE-D056CF94DE68B8B8	Pop affine value	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Move last value out and shorten live prefix	X	No affine elements or move-out transition	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-208	bb35901045bf1974fa7b2af34403012f523e8787d8efaeef0e758a465ca91b86	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-605AC2188112D67D	CAPABILITY_MATRIX	G0-ROLE-605AC2188112D67D	Ordered insert/remove and unordered `swap_remove`	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Frozen O(n-i) ordered and O(1) unordered contracts	X	No affine move-out; swap simulation can add traffic	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-209	40a4a1585f6dfcc7e7447103b906bb88c87c78f4ee33b9a35ac40bd5d4518443	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-B5540625EAF6FBE2	CAPABILITY_MATRIX	G0-ROLE-B5540625EAF6FBE2	Swap two dynamic elements	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Runtime distinctness plus two exclusive places	X	OWN-7 conservatively overlaps dynamic indexed places	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-210	7227f3abd5c5a2a44b6a8f533a343a641accd784b112633c4b70dccb30c71e66	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-7D51E1A35939B08B	CAPABILITY_MATRIX	G0-ROLE-7D51E1A35939B08B	Clear/truncate	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Drop exactly the removed initialized range	U	Copy tapes can reset a count, but the physical buffer remains fully live	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-211	5733ca451652c744bb14dd392efa611cc020ea810f456f1ef9ae9e6f74977786	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-ED91500D67BFD4C8	CAPABILITY_MATRIX	G0-ROLE-ED91500D67BFD4C8	Deep clone and bulk move-append	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Explicit duplication versus ownership transfer	X	Copy-only loops cover only narrow concrete cases	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-212	4ff866daa3dd5b0d6e91a58c9b231e5342fe25889b017c016e464cfa23abcdfe	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-3CA94EB9140EFE9C	CAPABILITY_MATRIX	G0-ROLE-3CA94EB9140EFE9C	Stable retain and eager drain/splice	M	C-COMPACT	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	One-pass compaction with exact transient ownership	X	Full rebuild changes allocation and traffic	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	stable retain and eager drain/splice with direct element-traffic accounting	H-FLATSET	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-213	b45ca5c1d778b9ba0f3d94c926de825e4ce75364701b98698ab9badfc909087a	33516c67f604fe3205677f77ce29e241c267161a5c0374f0a62ca69fe37d3bfe	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-059A35CFB70D3665	CAPABILITY_MATRIX	G0-ROLE-059A35CFB70D3665	Lazy drain cursor	O	C-LAZY-DRAIN	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OPTIONAL_PROMOTION_ONLY_IMPLICATED_REOPEN	Partial consumption with sound cursor drop/finish	X	Current no-finalizer rule leaves cleanup unproved	BLOCKS_ONLY_IF_PROMOTED_OR_REQUIRED_BY_A_MANDATORY_CONTRACT	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR,OPTIONAL_NOT_PROMOTED	NOT_APPLICABLE_REOPENING_ONLY	optional partial-consumption cursor, including early drop or explicit finish under the selected finalizer policy	O-LAZY-DRAIN	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-214	f19a9861b1bc286c31cdbf53f3be4164ccc6a4600d1a0d327389f97bf9174135	cfba0b8f5cf24fd22b0dcc01aacd81528081f2f2beee59f9965cfaee3b62659a	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-DEE68BBB5BE8CE36	CAPABILITY_MATRIX	G0-ROLE-DEE68BBB5BE8CE36	Generic unstable and stable sort	M	C-SORT	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Static comparator, affine swap, and scratch cleanup	X	No general comparator or affine scratch state	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unstable and stable sort of affine payloads with a static comparator and partial-scratch cleanup	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-215	40da2dd8d52d5971e1e8ef6268405892085e0e69f1edf11afd592098bc81a5d4	11e741b6c0f32ff43eea8b3dd440349e6c19b7710c50d569cf910cb4f7ac7b15	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-A1429BB8CF6BDF06	CAPABILITY_MATRIX	G0-ROLE-A1429BB8CF6BDF06	Stack adapter	M	C-SEQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Dense-sequence push/pop with no extra storage tax	X	Fixed Copy-only stack can be hand written	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length affine construction, reserve/grow/shrink, bulk extend/move-append, split, ordered insert/remove, O(1) `swap_remove`, pop, dynamic swap, truncate/clear, explicit deep clone, and destruction	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-216	da2d818cc16e1d7c94c4e5948edcd73b61304b9a5a7cd20fb5eb8e036062939c	861c14964d0e402e5b1fae1bc370851691ea15b6ef398b649c7691e58f1e0963	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-34933FEF062C2006	CAPABILITY_MATRIX	G0-ROLE-34933FEF062C2006	FIFO queue/deque	M	C-DEQUE	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DEQUE	NONE	F-DEQUE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Amortized O(1) operations at both ends under bounded memory	X	A simple prefix makes front removal O(n)	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	wrap/rebalance, `make_contiguous`-like access, and adversarial alternating-end churn under a frozen memory bound	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-217	be355244e4458a812bfbde2576bf4d84b7d72c2dba459f414dad25404ea77414	aee18bf26ed113fb896e7a356e3daa714cd0822f588aca39043eb85cfcbe7444	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-123547668C1C4CAB	CAPABILITY_MATRIX	G0-ROLE-123547668C1C4CAB	Priority queue	M	C-HEAP	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-HEAP	F-DENSE	F-HEAP	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Sequence-backed push/pop/repair under a frozen ordering contract	X	Fixed concrete Copy-only heap is possible	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	priority push/pop/repair for the frozen priority contract	H-IPQ	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-218	e5c15f7176d22242a1bca380dc440d32163e169bbf76b33b2b2ec276afce3d58	c003c2c4437c87f078933b066ca7cee14ae7af363a88bd401c79152118dd1ab0	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-A938E1E8EE996241	CAPABILITY_MATRIX	G0-ROLE-A938E1E8EE996241	Hash map/set	M	C-HASH	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-SPARSE	NONE	F-SPARSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Expected O(1) under frozen hash/adversary assumptions	X	Sparse affine occupancy and move-out are absent	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	accumulator/Entry, reserve/shrink, remove/retain/rehash, adversarial collisions, and steady-live delete/insert churn	H-STORE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-219	e5ef58a3277c7157440cf097bc69d89f1557ddd2dbf5c55f8138af3237cd70f1	ec85ef209b74afa2335744482937996945212267e016974b23f5e71c31b77f28	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-3B4FA2E3972C0E26	CAPABILITY_MATRIX	G0-ROLE-3B4FA2E3972C0E26	Ordered map/set	M	C-ORDER	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-ORDERED	F-DENSE,F-IDENTITY,F-RECURSIVE	F-ORDERED	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Comparison-model O(log n), ordered range, split/merge	X	No affine node storage or callable comparator	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	comparison-tree node split/merge and ordered range mutation	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-220	4e2801d1be01e9db2ddc442510925d49c7fef9affc56e6632e3e27fbbbb6a8d4	44bef8570435b3cd0600bea0cf2f21d3b28899f7fd536e9e5825f5332efa73ae	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-F134B31BF832F055	CAPABILITY_MATRIX	G0-ROLE-F134B31BF832F055	Append-only AST/DAG/graph	B	C-P2	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	ALL-FAMILY-LOCKS	NONE	ALL-FAMILY-LOCKS	EVERY_CANDIDATE_EXECUTES	Contiguous SoA columns and non-reused indices	P	P2; measured for the binary-trees/IR-like shape	PROTECTED_NO_REGRESSION_IN_EVERY_FAMILY_LOCK	PROTECTED_CONTROL	PROTECTED_CONTROL	unchanged append-only AST/DAG access and machine-code accounting	B-P2	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-221	bea25f4a091a500b1e5be110dbe9aae769720e942d942adda8bd1d56991aede9	6c26fbc2de6c25ddfbc23f19f26cddcd69ca10e8c8bcfde08022c30687e49191	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-8385226130A83F8E	CAPABILITY_MATRIX	G0-ROLE-8385226130A83F8E	Recyclable stable pool	W	C-POOL	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-SPARSE	F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Frozen reuse, identity, exhaustion, and memory contract	X	Census-gated; finite copied identities cannot provide every desired guarantee together	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	recyclable deletion/reuse, stale access, and the finite-identity steady-live churn boundary from Section 9	W-POOL	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-222	5c906230acf54c124ba72de1cbfd463687149bba41eaf1e506d8881829714e9f	939459156f1d19057d330cbb06b6d02723f3a3adbaeef12fd6de1724c5586439	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-3C9161161D843F6C	CAPABILITY_MATRIX	G0-ROLE-3C9161161D843F6C	Frozen graph	W	C-GRAPH	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-DENSE	F-DENSE,F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	CSR offsets and edge targets	U	No general library witness exists	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	frozen CSR plus dynamic graph deletion and known-neighbor singly/doubly linked rewiring	W-GRAPH	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-223	4c9a105150fc91c89f6ecd640786245032892a5992991c40c6c04a037ef4d604	16885798ed81670ce7cba5fc63f2ec6a41cd4ef473d7be60ef4481d8af1aef58	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-2C9485C46C1FBB01	CAPABILITY_MATRIX	G0-ROLE-2C9485C46C1FBB01	Dynamic graph with deletion	W	C-GRAPH	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-DENSE	F-DENSE,F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Stable identity, reuse, and multi-node mutation	X	Append-only storage never reclaims slots	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	frozen CSR plus dynamic graph deletion and known-neighbor singly/doubly linked rewiring	W-GRAPH	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-224	01e5f6275e881a46b6850cae1e835416698788ad6ce3431b64bec1e36300b91f	16885798ed81670ce7cba5fc63f2ec6a41cd4ef473d7be60ef4481d8af1aef58	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
