obligation_id	record_kind	registry_subject_id	workload_or_operation	role	primary_canary_id	required_crosscut_canary_ids	c_fail_applicability	crosscut_canary_contract	crosscut_canary_source_sha256	closure_owner_or_gate_stage	required_predecessor_family_ids	implicated_family_ids	implicated_rebind_policy	required_efficient_property	g0_status	current_workaround_or_blocker	closure_policy	owner_lock_allowed_dispositions	implicated_rebind_allowed_dispositions	canary_contract	linked_registry_ids	source_identity	source_row_sha256	canary_source_sha256	vocabulary_authority_sha256
G0-ROLE-1325ACFAB62E40FA	CAPABILITY_MATRIX	G0-ROLE-1325ACFAB62E40FA	Singly owned recursive list	W	C-RECUR	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-RECURSIVE	NONE	F-RECURSIVE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Finite layout, box extraction, mutable cursor, bounded drop	X	Replace/reborrow and recursive drop rules are absent	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	recursive box construction, extraction, mutation, inline-cycle rejection, and very deep destruction with bounded stack use	W-RECUR	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-225	54bc10b8d8eacbc43c06a4b3e84975728c08807f6aa9b7c675c57d268eb388db	d99a61a9a1855daa3b60c730268ad8380c4698073f9cd392c3563d770aa37597	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-8FB25D436825D80D	CAPABILITY_MATRIX	G0-ROLE-8FB25D436825D80D	Doubly linked/cyclic list	W	C-GRAPH	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-DENSE	F-DENSE,F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Non-owning stable links and O(1) known-neighbor rewiring	X	Unique recursive ownership cannot encode both directions	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	frozen CSR plus dynamic graph deletion and known-neighbor singly/doubly linked rewiring	W-GRAPH	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-226	574778687865422575f116fce63adcb710c066374891d1f8332cbd4dd1e1c3f4	16885798ed81670ce7cba5fc63f2ec6a41cd4ef473d7be60ef4481d8af1aef58	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-18DF259DC8194EA0	CAPABILITY_MATRIX	G0-ROLE-18DF259DC8194EA0	Homogeneous bump arena/slab	W	C-ARENA	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-ARENA	F-DENSE	F-DENSE,F-ARENA	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Stable address, bulk reset, and exact payload drop	X	No general multi-value affine storage witness exists	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	homogeneous stable-address allocation, partial construction, exact element drops, and bulk reset	W-ARENA	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-227	5f9c6538395a254dd92e1e1451839a5af4df4b0a780b8f67f038546de36a69ca	5d40b56b88649a634d06b54c556f0ff06538b59a02e2808fe438e6705232d19c	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-8C1082FBCB0E3BE8	CAPABILITY_MATRIX	G0-ROLE-8C1082FBCB0E3BE8	Inline-to-heap small sequence	W	C-SMALL	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	No heap below threshold and sound one-time representation transition	X	No generic affine sequence or transition witness exists	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	inline-to-heap affine-sequence transition with exact ownership, drop, and below-threshold allocation accounting	W-SMALL	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-228	475406473a450786b55bd5b6f2dc8c84fc3041afd22541c4c682162480b2af8c	6b75416a5812b6e54fa8d6fd65e3fae32baade7bf62f6926650b4c3add490942	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-264824702F71B254	CAPABILITY_MATRIX	G0-ROLE-264824702F71B254	Unseen storage-bearing structure	H	H-STORE	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-SPARSE	F-DENSE	F-SPARSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Direct use of public storage-state transitions under a frozen dependency budget	X	Must not compose the corresponding finished container	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	Direct use of public storage-state transitions under a frozen dependency budget	H-STORE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-229	8f82625c0a46205bfab42b5d810ff2a889cfc7e252f52581979f9ef5e2f39a8e	8f82625c0a46205bfab42b5d810ff2a889cfc7e252f52581979f9ef5e2f39a8e	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-4BB5C11CC7DEAB04	CAPABILITY_MATRIX	G0-ROLE-4BB5C11CC7DEAB04	LRU cache	H	H-LRU	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-SPARSE	F-SPARSE,F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Hash lookup plus stable O(1) known-node deletion/move	X	Exercises keyed storage, handles, rewiring, and reclamation	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	Hash lookup plus stable O(1) known-node deletion/move	H-LRU	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-230	fab6cb84f52ec8749b8b5d1c6f87f87bc06e26af46a26c901e2a9e53a2a25e6f	fab6cb84f52ec8749b8b5d1c6f87f87bc06e26af46a26c901e2a9e53a2a25e6f	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-FBB488CE0AAE588A	CAPABILITY_MATRIX	G0-ROLE-FBB488CE0AAE588A	Indexed priority queue	H	H-IPQ	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-HEAP	F-DENSE,F-SPARSE	F-DENSE,F-SPARSE,F-HEAP	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Map from key to heap position plus affine heap repair	X	Ordinary-library anti-special-casing witness	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	Map from key to heap position plus affine heap repair	H-IPQ	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-231	2dddb65e67ba2795d9243c53ff1cbb33f511ded1dc2732a9034ae9ff829779b4	2dddb65e67ba2795d9243c53ff1cbb33f511ded1dc2732a9034ae9ff829779b4	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-46D95D26A51F3ABA	CAPABILITY_MATRIX	G0-ROLE-46D95D26A51F3ABA	Bytes and UTF-8 text builder	M	C-TEXT	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-TEXT	F-DENSE	F-DENSE,F-TEXT	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Bulk append, validity sealing, and boundary-safe edits	X	Current byte buffer is fixed and fully initialized	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	unknown-length byte output, bulk append, UTF-8 validation/sealing, and boundary-preserving edits	NONE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-232	bc30094ee4b44b38a5e77e62c54ac28384ffb6a685d85962252169971caf5362	8c81121c8742a3f61570f028ff3ef0b7a4bd1cc879013da07efc7e1c5cd43496	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-ROLE-7202D07BC89E6CB7	CAPABILITY_MATRIX	G0-ROLE-7202D07BC89E6CB7	Borrowed, uniq, and owning iteration	M	C-ITER	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE,F-DEQUE,F-SPARSE,F-ORDERED,F-HEAP,F-IDENTITY,F-RECURSIVE,F-ARENA,F-TEXT	EACH_IMPLICATED_FAMILY_REBINDS_EXACT_TOPOLOGY	Provenance-preserving borrow or affine cursor	X	Index loops cover only concrete contiguous cases	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	PREDECESSOR_REUSE_AND_LOCAL_REBIND_PROVED,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	shared, uniq, and owning iteration with escape/invalidation negatives; and	B-P2,W-PIPE	general-purpose-data-structure-capability-RESEARCH.md:section-4:line-233	92953d564c2577011c438af5f86d1a5c89deb4ac7877b405d6679724ffd46441	17f02ef16e8c8138c67dc1b509ac0045a84d51324164413c743f64b7906ae76f	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-WITNESS-18CD5E98145F3B1C	WITNESS_REGISTRY	B-FIX	B-FIX	B	B-FIX	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	ALL-FAMILY-LOCKS	NONE	ALL-FAMILY-LOCKS	EVERY_CANDIDATE_EXECUTES	Existing fixed, fully initialized Copy buffer Protection: Preserve its two-word owner, one allocation, fixed length, checked indexing, and optimized body. No capacity, occupancy, generation, sharing, or policy field/branch may appear.	PROTECTED	Preserve its two-word owner, one allocation, fixed length, checked indexing, and optimized body. No capacity, occupancy, generation, sharing, or policy field/branch may appear.	PROTECTED_NO_REGRESSION_IN_EVERY_FAMILY_LOCK	PROTECTED_CONTROL	PROTECTED_CONTROL	Existing fixed, fully initialized Copy buffer Protection: Preserve its two-word owner, one allocation, fixed length, checked indexing, and optimized body. No capacity, occupancy, generation, sharing, or policy field/branch may appear.	B-FIX	WITNESS-REGISTRY.md:section-2:line-52	bb864c46adfecb28422044c6d07efccca185d6dac4ee180ab855aac8a94162dc	bb864c46adfecb28422044c6d07efccca185d6dac4ee180ab855aac8a94162dc	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-WITNESS-5F1AC19FA98BCFAF	WITNESS_REGISTRY	B-P2	B-P2	B	B-P2	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	ALL-FAMILY-LOCKS	NONE	ALL-FAMILY-LOCKS	EVERY_CANDIDATE_EXECUTES	Existing append-only SoA/index pool Protection: Preserve non-reused indices and the measured append-only access path. No generation, recycling, sparse-state, shared-ownership, or provenance branch may appear.	PROTECTED	Preserve non-reused indices and the measured append-only access path. No generation, recycling, sparse-state, shared-ownership, or provenance branch may appear.	PROTECTED_NO_REGRESSION_IN_EVERY_FAMILY_LOCK	PROTECTED_CONTROL	PROTECTED_CONTROL	Existing append-only SoA/index pool Protection: Preserve non-reused indices and the measured append-only access path. No generation, recycling, sparse-state, shared-ownership, or provenance branch may appear.	B-P2	WITNESS-REGISTRY.md:section-2:line-53	24208891fd4fc05aa9e8db4b4b11052ea3e4c9067687d25deca3644be2b9d267	24208891fd4fc05aa9e8db4b4b11052ea3e4c9067687d25deca3644be2b9d267	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-WITNESS-62CE584F6DB86399	WITNESS_REGISTRY	W-POOL	W-POOL	W	W-POOL	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-IDENTITY	F-SPARSE	F-IDENTITY	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Insert, shared `get`, replace, and remove affine payloads through finite copyable logical handles; a returned borrow is tied to the pool and blocks incompatible mutation. Each slot generation advances without wrap; reaching its maximum retires that slot permanently. The pool has a frozen maximum slot count, so insertion returns `IdentityExhausted(own T)` as the sole owner before any stale handle could revive, with the pool unchanged. Storage/history is O(maximum slots), including retired slots. A same-typed handle from another pool is a memory-safe logic error with no guaranteed rejection. Insertion is amortized O(1), including identity-exhaustion detection. Once no committing growth is required, insertion, shared get, replace, and remove each touch O(1) slots and metadata. Disposition is exact. Dependency budget: `K-SCALAR`, `ST-SPARSE`, `OW-INIT`, `OW-MOVEOUT`, `OW-REPLACE`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-INVALIDATE`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `ID-LOGICAL`, `ID-FRESH`, `ID-POOL`, `FT-STATE`, `FT-IDENTITY`, `AB-SEAL`, `AB-GENERIC`, `F-ALLOC`	REQUIRED	Distinguishes reusable storage and temporal freshness from an append-only index or a bare-key slab.	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	Insert, shared `get`, replace, and remove affine payloads through finite copyable logical handles; a returned borrow is tied to the pool and blocks incompatible mutation. Each slot generation advances without wrap; reaching its maximum retires that slot permanently. The pool has a frozen maximum slot count, so insertion returns `IdentityExhausted(own T)` as the sole owner before any stale handle could revive, with the pool unchanged. Storage/history is O(maximum slots), including retired slots. A same-typed handle from another pool is a memory-safe logic error with no guaranteed rejection. Insertion is amortized O(1), including identity-exhaustion detection. Once no committing growth is required, insertion, shared get, replace, and remove each touch O(1) slots and metadata. Disposition is exact. Dependency budget: `K-SCALAR`, `ST-SPARSE`, `OW-INIT`, `OW-MOVEOUT`, `OW-REPLACE`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-INVALIDATE`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `ID-LOGICAL`, `ID-FRESH`, `ID-POOL`, `FT-STATE`, `FT-IDENTITY`, `AB-SEAL`, `AB-GENERIC`, `F-ALLOC`	W-POOL	WITNESS-REGISTRY.md:section-3:line-99	c2b4d384af9f24b921c7aa66449034adec840ab4fa74540452e7f5a09d47613e	c2b4d384af9f24b921c7aa66449034adec840ab4fa74540452e7f5a09d47613e	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-WITNESS-A38FC2FC85351D93	WITNESS_REGISTRY	W-ARENA	W-ARENA	W	W-ARENA	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-ARENA	F-DENSE	F-DENSE,F-ARENA	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	Amortized O(1) placement of an already-complete `own T` uses an owner-tied checked placement authority whose exact write footprint contains only allocation metadata and fresh dead storage. It returns a borrow tied to the arena; that borrow remains valid across later arena placements because each later write footprint is proved disjoint from every prior payload borrow and no prior payload relocates. Whole-arena unique access, hidden shared-write/interior mutation, or a runtime borrow table does not satisfy this contract. Any reset/destroy expression requiring incompatible arena access is statically rejected until every phase borrow ends. No individual free exists; after borrows end, reset/destroy disposes every complete affine payload exactly once. No partial aggregate is constructed inside arena storage. `FAM-DENSE` is a required exercised predecessor used only as the unbounded registry of sealed affine `F-ALLOC` backing-block owners. Every committed regular chunk and dedicated oversized block has exactly one retained block owner until reset/destruction. Registry growth may relocate sealed block-owner tokens, but relocation changes neither backing-allocation identity nor live payload-borrow provenance and moves neither allocation nor payload. Each payload borrow is rooted in the arena owner and exact retained backing allocation, never in a registry slot or token address. The reviewed `F-ALLOC` caller contract and access proof must establish this property; token relocation alone is not evidence. Recoverable block-acquisition or registry-retention failure returns `Failure(error, own T)` as the sole owner, destroys any uncommitted block owner exactly once, and leaves all existing contents and borrows unchanged. For a lock-frozen regular-chunk usable-byte budget C, C must hold at least eight minimum test payloads; a request is regular only when its maximum aligned footprint fits an empty regular chunk and is otherwise oversized. The resource envelope below charges regular payload extents R, regular alignment and terminal fragmentation P, dedicated aligned request footprints and actual acquired usable bytes, retained block-owner count K_peak, noncommitting calls F, successful noncommitting bytes Z, peak memory, and growth policy. Each successful oversized request uses one separately charged dedicated block and committing successful call. No logical identity, observable address promise after a borrow ends, self-reference, `Pin`-class projection, or pre-drop notification is implied. Dependency budget: `K-SCALAR`, `FAM-DENSE`, `ST-DENSE`, `OW-INIT`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-DISJOINT`, `BR-INVALIDATE`, `BR-CURSOR`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `AB-SEAL`, `AB-GENERIC`, `FT-STATE`, `F-ALLOC`	REQUIRED	Bulk phase reclamation differs from per-slot deletion and from Rust bump allocators that intentionally skip payload destruction, without importing the deferred address-stability family. W-ARENA is a post-dense composition/access witness and cannot close, select, or adopt `FAM-DENSE`.	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	Amortized O(1) placement of an already-complete `own T` uses an owner-tied checked placement authority whose exact write footprint contains only allocation metadata and fresh dead storage. It returns a borrow tied to the arena; that borrow remains valid across later arena placements because each later write footprint is proved disjoint from every prior payload borrow and no prior payload relocates. Whole-arena unique access, hidden shared-write/interior mutation, or a runtime borrow table does not satisfy this contract. Any reset/destroy expression requiring incompatible arena access is statically rejected until every phase borrow ends. No individual free exists; after borrows end, reset/destroy disposes every complete affine payload exactly once. No partial aggregate is constructed inside arena storage. `FAM-DENSE` is a required exercised predecessor used only as the unbounded registry of sealed affine `F-ALLOC` backing-block owners. Every committed regular chunk and dedicated oversized block has exactly one retained block owner until reset/destruction. Registry growth may relocate sealed block-owner tokens, but relocation changes neither backing-allocation identity nor live payload-borrow provenance and moves neither allocation nor payload. Each payload borrow is rooted in the arena owner and exact retained backing allocation, never in a registry slot or token address. The reviewed `F-ALLOC` caller contract and access proof must establish this property; token relocation alone is not evidence. Recoverable block-acquisition or registry-retention failure returns `Failure(error, own T)` as the sole owner, destroys any uncommitted block owner exactly once, and leaves all existing contents and borrows unchanged. For a lock-frozen regular-chunk usable-byte budget C, C must hold at least eight minimum test payloads; a request is regular only when its maximum aligned footprint fits an empty regular chunk and is otherwise oversized. The resource envelope below charges regular payload extents R, regular alignment and terminal fragmentation P, dedicated aligned request footprints and actual acquired usable bytes, retained block-owner count K_peak, noncommitting calls F, successful noncommitting bytes Z, peak memory, and growth policy. Each successful oversized request uses one separately charged dedicated block and committing successful call. No logical identity, observable address promise after a borrow ends, self-reference, `Pin`-class projection, or pre-drop notification is implied. Dependency budget: `K-SCALAR`, `FAM-DENSE`, `ST-DENSE`, `OW-INIT`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-DISJOINT`, `BR-INVALIDATE`, `BR-CURSOR`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `AB-SEAL`, `AB-GENERIC`, `FT-STATE`, `F-ALLOC`	W-ARENA	WITNESS-REGISTRY.md:section-3:line-100	83eb9554a49e95131674cbaa9d7a63773de7c5588780f951f9469191ad2637cf	83eb9554a49e95131674cbaa9d7a63773de7c5588780f951f9469191ad2637cf	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
G0-WITNESS-DC88DBF5A2072719	WITNESS_REGISTRY	W-SMALL	W-SMALL	W	W-SMALL	C-FAIL	REQUIRED_OWNING_CANARY	every owning canary repeated through early `Result`, checked capacity failure, partial construction, and each recoverable allocation point	19f02393da541de5fb44b5aec311af516ac8caddf53abbb3af49a92f6c34903d	F-DENSE	NONE	F-DENSE	OWNER_OR_GATE_CLOSES_IMPLICATED_REOPEN	No heap allocation through inline capacity N; insertion at N+1 performs one sound spill; contiguous slice semantics survive; affine pop/remove/drop work; failed spill returns `Failure(error, own T)` as the sole owner and leaves the small sequence unchanged; automatic spill-back is not required. Dependency budget: `K-SCALAR`, `ST-FULL`, `ST-DENSE`, `ST-HOLE`, `OW-INIT`, `OW-MOVEOUT`, `OW-REPLACE`, `OW-RELOCATE`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-INVALIDATE`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `AB-SEAL`, `AB-GENERIC`, `FT-STATE`, `F-ALLOC`	REQUIRED	Exposes a one-time representation transition and an externally measurable allocation ceiling absent from an ordinary growable sequence contract.	BLOCKS_ASSIGNED_FAMILY_AND_COMPLETE_FLOOR	REQUIRED_IN_LOCK,EXCLUDED_BLOCKS_FAMILY_AND_FLOOR	NOT_APPLICABLE_REOPENING_ONLY	No heap allocation through inline capacity N; insertion at N+1 performs one sound spill; contiguous slice semantics survive; affine pop/remove/drop work; failed spill returns `Failure(error, own T)` as the sole owner and leaves the small sequence unchanged; automatic spill-back is not required. Dependency budget: `K-SCALAR`, `ST-FULL`, `ST-DENSE`, `ST-HOLE`, `OW-INIT`, `OW-MOVEOUT`, `OW-REPLACE`, `OW-RELOCATE`, `OW-DROP`, `EX-NORMAL`, `EX-ABANDON`, `EX-ABORT`, `BR-PROV`, `BR-REBORROW`, `BR-RESULT`, `BR-INVALIDATE`, `FL-CAPACITY`, `FL-ALLOC`, `FL-ATOMIC`, `AB-SEAL`, `AB-GENERIC`, `FT-STATE`, `F-ALLOC`	W-SMALL	WITNESS-REGISTRY.md:section-3:line-101	168e48377d490947ee3f4405dd2c4a30389563914cc545c9971b6b47883903a4	168e48377d490947ee3f4405dd2c4a30389563914cc545c9971b6b47883903a4	9174a2aa7c51b79f36b7ca4280072dea431ba3eeb1b67b58d873ba6b49ff0fad
