contract_id	stored_borrow_scope	scope_owner_contract_ids	rationale
ARR-VIEW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
ARR-EACH-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
ARR-MAP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-META-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
VIEW-GET-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-GET-02	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-END-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-ARRAY-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-END-CHUNK-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-END-SPLIT-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-SPLIT-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-SPLIT-02	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-CONSUME-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-DISJOINT-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-ARRAY-CHUNKS-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-ITER-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-WINDOW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-CHUNKS-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-CHUNKBY-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
VIEW-SPLIT-PRED-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
VIEW-SEARCH-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
VIEW-SEARCH-02	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-ORDER-CHECK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-SORT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-SORT-02	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-SELECT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-REORDER-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-SWAP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-COPY-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-CLONE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-FILL-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-ELEMENT-OFFSET-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
VIEW-ALLOC-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
VIEW-CONCAT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BYTE-ASCII-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
BYTE-ASCII-02	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
BYTE-ASCII-03	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
BYTE-ASCII-04	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
BYTE-ASCII-05	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
BYTE-UTF8-CHUNKS-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
INIT-WRITE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-META-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-BYTES-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-VALIDATE-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-BOUNDARY-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-GET-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-SPLIT-AT-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-SPLIT-AT-02	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-ITER-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-UTF16-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-SEARCH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-MATCH-ITER-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
TEXT-SPLIT-PATTERN-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
TEXT-LINES-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-TRIM-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-ESCAPE-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
TEXT-PARSE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-ASCII-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-UNICASE-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-REPLACE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
TEXT-REPEAT-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
TEXT-BOX-CONVERT-01	NO_STORED_BORROW_COMPLEMENT	NONE	This coverage cluster has no live borrow-bearing generic payload branch that requires a stored-borrow complement.
BOX-NEW-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-PIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-DOWNCAST-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
BOX-INIT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-TRY-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-SHRINK-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-VIEW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
SEQ-PUSH-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-INSERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-POP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-REMOVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-APPEND-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-EXTEND-COPY-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RESIZE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-TRUNCATE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-RETAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-DEDUP-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-DRAIN-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-EXTRACT-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
SEQ-SPLICE-01	ACTIVE_BR_STORED	NONE	The base matrix row explicitly covers arbitrary borrow-bearing retained values under BR-STORED and its pinned provenance, result, destruction, and disjointness obligations as applicable.
SEQ-SPLIT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
SEQ-CONVERT-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-META-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-RESERVE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-VIEW-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
DEQUE-CONTIG-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-ACCESS-01	NO_STORED_BORROW_COMPLEMENT	NONE	The base matrix flags every direct borrowed or borrow-bearing result through BR-PROV/BR-RESULT obligations, and this coverage cluster retains no additional arbitrary borrow-bearing value as data across public calls.
DEQUE-RANGE-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
DEQUE-ITER-01	DEFERRED_BRANCHES	NONE	One or more exact region-free/borrow-free base branches and their stored-borrow complements are recorded in PAYLOAD-SCOPE-OVERLAY.tsv.
