gap_id	gap_name	target_contract	current_expression_limit	forced_machine_cost_or_shape	correctness_cleanup_and_fact_obligations	protected_cost_budget	evidence_refs	evidence_strength	falsifier	frontier_capability_refs	scope_status
PF-G01	affine aggregate storage	Store non-Copy records contiguously in fixed arrays and buffers, preserve field ownership, and scan rows without changing the requested AoS representation.	TYPE-2 restricts array and buffer elements to Copy; SoA is available only by changing the program contract.	Forced SoA decomposition, per-object allocation or indirection, or rejection; a fallback may also copy resource-bearing records illegally.	Every field has one owner; projection and whole-record movement agree; partial construction and destruction visit exactly live fields; layout facts cannot be forged.	One contiguous allocation, no per-record ownership metadata, and no tax on the protected fixed-buffer or SoA baselines.	CAP:ST-AOS;CAP:OW-DROP;CAP:AB-GENERIC;W:H-FLATSET;SPEC:TYPE-2	mechanism_and_heldout	A checked ordinary-library construction meets the AoS contract and protected budget under current rules, or measured target evidence shows every demanded AoS layout is dominated by an admitted representation change.	ST-AOS;OW-DROP;AB-GENERIC	candidate_required
PF-G02	partial and structured live storage	Represent a dense prefix, wrapped interval, arbitrary occupied set, related column ranges, or temporary hole while the remaining capacity is not a readable or droppable T.	A buffer's allocation length is its value length and buffer_new fills every slot; no state relates occupancy to payload validity.	Full-capacity initialization or clearing, Default sentinels, per-slot Option tags or a universal bitmap, extra branches, extra drop scans, or whole-container rebuilds.	Only live slots may be read, borrowed, moved, or dropped; topology transitions preserve exact occupancy and close every normal or abandoned path; state facts bind to owner and version and invalidate on mutation.	Dense-prefix and ring paths pay no sparse per-slot metadata; W-GAP has no per-slot tag and exact move count; unused capacity is not initialized or dropped as T.	CAP:ST-DENSE;CAP:ST-RING;CAP:ST-SPARSE;CAP:ST-DEPENDENT;CAP:ST-HOLE;CAP:OW-INIT;CAP:OW-DROP;CAP:EX-NORMAL;CAP:EX-ABANDON;CAP:FT-STATE;W:W-GAP;W:W-ECS;W:H-IPQ;SPEC:TYPE-2;SPEC:OP-9	mechanism_and_structural_witnesses	Current checked xlang expresses every registered topology within its protected budget without hidden initialization, tags, bitmap, scans, or rebuilds, or a topology is shown not to occur in the admitted workload universe.	ST-DENSE;ST-RING;ST-SPARSE;ST-DEPENDENT;ST-HOLE;OW-INIT;OW-DROP;EX-NORMAL;EX-ABANDON;FT-STATE	candidate_required
PF-G03	affine place transitions and direct relocation	Initialize a dead place, move out, replace, swap runtime-disjoint places, relocate overlap-safe ranges, and explicitly clone while retaining a valid surrounding owner.	OWN-1 kills the whole binding after a partial move and forbids later set or reinitialization; affine buffer elements are absent and OWN-7 rejects ordinary dynamic indexed disjointness.	Adjacent swaps, whole-buffer copies or rebuilds, extra temporary allocation, hidden Clone or Default, additional element traffic, or outright rejection.	Each source owner reaches exactly one destination or result; dead places are unreadable and not dropped; overlap direction and partial completion are proved; offered owners are returned or preserved on failure.	Direct two-transfer replace and direct relocation are baselines; O(1) pop and swap-remove remain attainable; no whole-container copy or hidden allocation.	CAP:OW-INIT;CAP:OW-MOVEOUT;CAP:OW-REPLACE;CAP:OW-SWAP;CAP:OW-RELOCATE;CAP:OW-CLONE;CAP:OW-DROP;CAP:EX-NORMAL;CAP:EX-ABANDON;W:W-SMALL;W:W-GAP;W:H-LRU;SPEC:OWN-1;SPEC:OWN-7	mechanism_and_structural_witnesses	A current-language checked library implements the registered transitions at the direct-traffic budgets, or structural and measured evidence proves the extra traffic immaterial for every implicated witness.	OW-INIT;OW-MOVEOUT;OW-REPLACE;OW-SWAP;OW-RELOCATE;OW-CLONE;OW-DROP;EX-NORMAL;EX-ABANDON	candidate_required
PF-G04	borrow results, stored borrows, and scoped disjoint access	Return, store, compose, and reborrow physical borrows while deriving temporary authority for statically or dynamically proven disjoint subplaces.	Current provenance is lexical and narrow; returned reborrow support is selected but unimplemented, borrow-bearing aggregate storage is absent, and OWN-7 treats dynamic indices and same-root slices as overlapping.	Owner lookup, runtime borrow tables, refcounts, per-access alias checks, forced copying, callback-only APIs, loop versioning, or rejection of direct mutation.	Every borrow leaf retains its exact root, place and region; dynamic validation is scoped; duplicates and overlap fail; structural mutation invalidates dependent authority; optimizer facts expire with the proof scope and owner version.	Static paths add no runtime provenance or borrow metadata; a dynamic partition pays validation once, not per access; protected fixed and SoA paths gain no guards.	CAP:BR-REBORROW;CAP:BR-RESULT;CAP:BR-STORED;CAP:BR-DISJOINT;CAP:BR-INVALIDATE;CAP:BR-CURSOR;CAP:FT-BORROW;W:W-ARENA;W:W-GRAPH;W:H-FLATSET;MEASURE:SCOPED-ALIAS-2026-07-09;SPEC:OWN-7	measured_plus_mechanism	Current checked xlang expresses these access contracts with equal or lower machine events and code size, or a controlled facts-off comparison shows the scoped facts cannot affect any admitted workload.	BR-REBORROW;BR-RESULT;BR-STORED;BR-DISJOINT;BR-INVALIDATE;BR-CURSOR;FT-BORROW	candidate_required
PF-G05	erased invariant sealing and state authority	Let an ordinary checked library hide representation state and expose only invariant-preserving transitions, with any access-authorizing state tied to the exact owner and version.	There is no module, private-field, or opaque-construction mechanism; abstract container invariants do not mint facts.	Expose forgeable length or occupancy, insert runtime access-control branches, duplicate validation on every use, keep permanent metadata solely for authority, or prevent ordinary libraries from constructing safe containers.	Clients cannot forge state; constructors and transitions are checked; facts name proposition, root, version, producer, consumers and invalidators; facts-off preserves semantics and checks.	Sealing erases, adds no runtime branch, and charges metadata only when the represented contract itself needs it.	CAP:AB-SEAL;CAP:FT-STATE;CAP:FT-REFINE;CAP:FT-IDENTITY;CAP:FT-BORROW;CAP:FT-SHARED;DOMAIN:D04;W:W-POOL;W:H-STORE	mechanism_and_domain_boundary	A current ordinary library can hide and preserve all implicated invariants without runtime access-control cost or forgeable facts, or each registered container can be expressed at budget without abstraction.	AB-SEAL;FT-STATE;FT-REFINE;FT-IDENTITY;FT-BORROW;FT-SHARED	candidate_required
PF-G06	stateful generic behavior and zero-materialization traversal	Express statically dispatched stateful callables, shared and unique traversal, owning traversal, and adapter composition without materializing intermediate collections.	Contracts and monomorphization are partial; complete callable member, retained state, borrow-carrying Item, and composition paths are absent; function values and dynamic dispatch are not kernel facilities.	Intermediate allocation and copies, boxed environments, vtables or indirect calls, exponential specialization, callback-only control flow, or inability to implement the operation.	Effect and capture relations account for every surviving or moved leaf; early stop and callback failure leave owners valid; yielded borrows preserve provenance; monomorphization remains finite and deterministic.	W-PIPE permits zero intermediate collections and zero adapter heap allocation with machinery O(depth plus callback bodies); direct calls remain direct after monomorphization.	CAP:AB-BEHAVIOR;CAP:AB-STATEFUL;CAP:AB-GENERIC;CAP:IT-SHARED;CAP:IT-UNIQ;CAP:IT-OWN;CAP:IT-COMPOSE;CAP:FL-CALLBACK;CAP:BR-STORED;CAP:BR-CURSOR;W:W-PIPE;W:H-FLATSET	mechanism_and_structural_witnesses	A current checked library derives all traversal forms at W-PIPE's cost and code-growth bounds, or measurement shows an admitted simpler route is uniformly no worse.	AB-BEHAVIOR;AB-STATEFUL;AB-GENERIC;IT-SHARED;IT-UNIQ;IT-OWN;IT-COMPOSE;FL-CALLBACK	candidate_required
PF-G07	recoverable allocation and failure-atomic commit	Distinguish capacity overflow, allocation failure, callback failure, and abort while preserving original owners and offered affine inputs on every recoverable edge.	OP-9 checks size overflow but leaves OOM TCB-level; there is no growable partial state, recoverable allocator contract, or general transactional transition.	Abort where recovery is required, pre-mutation copies, rollback logs and traffic, leaked or lost offered owners, duplicate work, or inability to provide try-style operations.	Capacity arithmetic is checked before allocation; prepare and commit boundaries are explicit; partial cleanup is exact; callback errors occur at invariant-safe boundaries; trap paths read no dead storage before abort.	No rollback machinery on abort-only paths; W-SMALL performs one sound spill; recoverable routes charge their actual metadata and traffic without taxing fixed storage.	CAP:FL-CAPACITY;CAP:FL-ALLOC;CAP:FL-ATOMIC;CAP:FL-CALLBACK;CAP:OW-CLONE;CAP:EX-NORMAL;CAP:EX-ABORT;W:W-SMALL;W:W-ECS;W:H-IPQ;SPEC:OP-9	mechanism_and_structural_witnesses	Current checked xlang implements every registered recoverable contract without extra copy or rollback cost, or owner policy removes recoverability from the target contract with evidence that the workload does not need it.	FL-ALLOC;FL-ATOMIC;FL-CALLBACK	candidate_required
PF-G08	refinement reuse without representation tax	Validate bytes once, expose a refined value such as UTF-8, reuse the same storage, and invalidate or re-establish the refinement after mutation.	Initialization does not establish a refinement type or a checked seal and invalidation path.	Repeated whole-value validation, copied storage, a permanent validity tag on raw bytes, defensive checks at every consumer, or unsafe trust.	Only checked producers mint refinement facts; facts bind to exact bytes, root and version; every relevant mutation invalidates; foreign or loaded data is validated before refinement.	No copy and no metadata or validation tax on raw bytes; refined consumers may remove only checks justified by machine-verified facts.	CAP:ST-REFINE;CAP:FT-REFINE;DOMAIN:D11;DOMAIN:D15;DOMAIN:D18;W:H-STORE	mechanism_and_domain_boundary	A current checked abstraction validates once and reuses storage with the same checks and machine events, or repeated validation is measured free on all implicated consumers.	ST-REFINE;FT-REFINE	candidate_required
PF-G09	logical identity, reuse, and stable lookup	Keep a logical handle valid across relocation, optionally recycle finite slots without reviving stale handles, and state cross-pool behavior explicitly.	Append-only indices are a narrow proved pattern; there is no general typed handle, reuse freshness, pool provenance, or identity fact channel.	Permanent pointers and indirection, per-object allocation, global uniqueness machinery, universal generation checks, inability to recycle, or stale-handle acceptance.	Relocation does not change logical identity; reuse proves freshness by generation, retirement, bounded lifetime, or another explicit rule; invalidation and exhaustion are defined; facts bind to pool and version.	Append-only contracts pay no generation or recycling branch; recyclable contracts charge only their chosen freshness representation; no per-entity allocation for ECS or pool witnesses.	CAP:ID-LOGICAL;CAP:ID-FRESH;CAP:ID-POOL;CAP:FT-IDENTITY;W:W-POOL;W:W-GRAPH;W:W-ECS;W:H-LRU	mechanism_and_structural_witnesses	Current checked libraries satisfy both append-only and recyclable identity contracts at their distinct budgets, or held-outs show that relocation-stable logical identity is unnecessary.	ID-LOGICAL;ID-FRESH;ID-POOL;FT-IDENTITY	candidate_required
PF-G10	shared ownership and concurrent memory events	Express shared lifetime, strong and weak ownership, mutation authority, thread transfer, atomics, and synchronization with a defined memory model.	STOR-3 has no reference counting; xlang v0 has no thread construct, memory model, atomics, synchronization, or shared-lifecycle fact channel.	Reject concurrent programs, serialize through an external runtime, leak allocations, add coarse locks and indirection, or use unchecked foreign behavior; unrelated unique owners may be taxed by a universal shared representation.	Data races and use-after-free are unrepresentable; count, weak-upgrade, release, happens-before and destruction events are exact; cycles and exhaustion are explicit; facts invalidate on interference.	No refcount, lock, fence, atomic, header, or indirection cost on statically unique owners; shared paths expose and charge every required machine event.	CAP:ID-SHARED;CAP:FT-SHARED;CAP:FT-BORROW;DOMAIN:D08;DOMAIN:D21;DOMAIN:D22	deferred_domain_boundary	A safe current-language construction provides the specified concurrent events and lifecycle without hidden trusted code, or the owner removes shared concurrency from the systems-language workload boundary.	ID-SHARED;FT-SHARED;FT-BORROW	candidate_required_deferred_evidence
PF-G11	address stability and suspended ownership	Keep selected values at stable addresses across moves or suspension, represent self-reference or retained operations, and distinguish logical identity from physical pinning.	There is no address-sensitive type, pinning, async suspension, or retained-lifetime model.	Per-object heap allocation and indirection for all values, copying state machines, rejection of self-reference or async retention, or unchecked raw pointers.	Pinned values cannot move before their declared boundary; suspension retains exact owners and borrows; cancellation and drop close state; ordinary movable values acquire no address promise.	No pinning, allocation, header, or indirection tax on contracts requiring only logical identity or ordinary stack movement.	CAP:ID-ADDRESS;DOMAIN:D23;W:W-RECUR	deferred_domain_boundary	Current checked xlang safely expresses stable-address and suspension contracts at selective cost, or owner evidence excludes address-sensitive and async-retained workloads.	ID-ADDRESS	candidate_required_deferred_evidence
PF-G12	exact external I/O and foreign resource events	Represent partial reads and writes, OS or runtime handles, blocking and readiness, foreign call frames, ownership transfer, and exact close behavior.	The kernel has no I/O, handle, blocking, readiness, FFI frame, or foreign resource lifetime facility.	Copies through host-owned buffers, per-call allocation, duplicated syscalls, lost partial progress, leaked or double-closed handles, wrapper indirection, or inability to express the operation.	Every external event is explicit in effects; buffer access bounds and duration are checked; partial progress preserves owners; close occurs exactly once; foreign results are validated before becoming facts.	No mandatory staging copy, allocation, dynamic dispatch, or duplicate machine event when the target contract permits direct buffers and static binding.	DOMAIN:D15;DOMAIN:D18;DOMAIN:D26	domain_boundary_only	A safe current-language library expresses direct partial I/O and foreign resources with exact machine events and no untracked trusted boundary, or these workloads are removed from the language's systems scope.	-	candidate_required_deferred_evidence
PF-G13	target-specific exact machine operations	Express selected SIMD, feature detection, MMIO, DMA, device, and target operations with defined totality, ordering, effects, and fallback contracts.	No target facility, SIMD, MMIO, DMA, device-event, or target capability model exists.	Scalarization, extra loads and stores, staging copies, runtime dispatch, helper calls, missing ordering, or inability to reach the required instruction or event.	Every operation has defined edge semantics, target availability, memory and ordering effects, alignment, lifetime, failure, and fallback; no arbitrary opcode or unchecked ABI descriptor is writer-reachable.	An admitted direct operation lowers to the contracted machine event without hidden allocation or dispatch; portable code pays no target metadata or branch unless it requests runtime selection.	DOMAIN:D24;DOMAIN:D25	domain_boundary_only	Existing checked source generates the exact required events across admitted targets, or a finite target census proves none of these operations is needed for target workloads.	-	candidate_required_deferred_evidence
PF-G14	final-image code and executable-memory lifecycle	Construct or load executable code while preserving write-xor-execute, relocation, symbol, lifetime, cache-coherence, and exact loaded-image validation.	The language has no executable-memory or loader lifecycle model and no way to relate pre-link reasoning to the final immutable loaded image.	Interpreter dispatch when generated code is required, repeated copying, permanent writable executable pages, extra indirection, unchecked loader trust, or inability to implement JIT and loader workloads.	Writable and executable phases are separated; relocations and providers are validated; instruction-cache events and unload are exact; any fact names the exact immutable loaded image.	No executable-memory lifecycle or validation cost on programs that do not generate or load code; admitted loaders charge each required OS and target event explicitly.	DOMAIN:D26;MEASURE:INTERPRETER-DISPATCH-CARDED-2026-07-10	research_statement_and_domain_boundary	A safe current-language route implements the final-image contract with exact events, or executable-code construction is explicitly excluded from the target systems workload.	-	candidate_required_deferred_evidence
PF-G15	machine-verified performance facts and guaranteed code shape	State or derive bounds, alias, effect, algebraic, state, identity, and selected control-flow facts that remove otherwise mandatory checks or guard-heavy code shapes without weakening semantics.	Only narrow checked facts and proof tiers exist; future state, identity, dynamic-borrow, shared-lifecycle, refinement, and guaranteed-dispatch channels are absent or only carded.	Retained bounds checks, loop-versioning guards and code-size growth, scalar reductions, repeated validation, redundant state checks, indirect dispatch, or writer restructuring into less safe arithmetic.	Only deterministic machine-verified producers mint facts; every fact has exact proposition, provenance and invalidators; facts-off is semantically identical; explicit checks remain; unsupported proof fails closed.	No fact metadata or runtime check on proven paths beyond contract-required validation; protected simple paths do not gain guards; code-shape guarantees must state size and target limits.	MEASURE:BOUNDS-PROOF-2026-07-10;MEASURE:SCOPED-ALIAS-2026-07-09;MEASURE:CHECKED-LAW-2026-07-09;MEASURE:INTERPRETER-DISPATCH-CARDED-2026-07-10;CAP:FT-STATE;CAP:FT-REFINE;CAP:FT-IDENTITY;CAP:FT-BORROW;CAP:FT-SHARED	measured_narrow_channels_plus_research_statement	A facts-off or current-rule construction meets the same checks, code size and throughput on representative admitted workloads, or hostile proof finds a proposed channel unsound or non-compositional.	FT-STATE;FT-REFINE;FT-IDENTITY;FT-BORROW;FT-SHARED	candidate_required
