schema_version	route_id	route_class	basis_authority_ids	premise_kind	operational_contract	structural_cost_rule	evidence_status
privileged-basis-route-v1	CORE-TYPED-PLACE	CORE_RULE	R-1	NONE	A checked layout witness partitions one generative byte carrier into nonoverlapping typed logical places; live bytes never change type without a proved vacant partition bijection.	Static layout evidence erases; runtime-dependent layouts pay only selected checked arithmetic or descriptors.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-EMPTY-CARRIER	CORE_RULE	R-1,R-3	NONE	Create an inline, virtual, or admitted heap carrier whose complete typed partition is vacant and whose release authority is linear.	No payload initialization, Copy, Clone, Default, occupancy bitmap, or per-slot tag is introduced.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-ADOPT-FULL	CORE_RULE	R-1,R-2,R-3	NONE	Repackage an already-full inline aggregate as one generative full carrier without reading, moving, copying, or reinitializing payload bytes.	Zero payload traffic and zero allocation; only proof identity changes.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-REPACKAGE-FULL-STORAGE	CORE_RULE	R-1,R-2,R-3	NONE	Apply a bidirectional checked isomorphism between sealed full-storage representations while preserving the exact allocation root, extent, live values, disposition, and sole ownership.	Zero payload traffic and zero allocation; the physical owner and representation are unchanged.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-TAKE-PUT	CORE_RULE	R-1,R-2,R-3	NONE	Use the Full-to-Vac-plus-owner isomorphism in either direction under exact move authority and with incompatible loans absent.	Exactly the algorithm-required owner transfers; no clone, default value, spare payload, or topology metadata.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-REPLACE	DERIVED_PROOF	R-1,R-2,R-3	NONE	Take the displaced owner and put the offered owner into the same live place while returning the displaced owner.	Exactly two ownership transfers; no swap, clone, allocation, or hidden destruction.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-SWAP	DERIVED_PROOF	R-1,R-2,R-3	NONE	After proving logical footprints disjoint, take both affine values and put each into the opposite vacancy before resealing.	Exactly the algorithm-required exchange traffic; no allocation or runtime borrow table on the static path.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-PARTITION-BORROW	CORE_RULE	R-1,R-2,R-3	NONE	Split exact footprints, issue root-and-epoch-tied shared or unique loans, and rejoin the escrowed authority when every child loan ends.	Static partitions and loans erase; only contract-selected dynamic distinctness checks remain.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-RESHAPE-PARTITION	DERIVED_PROOF	R-1,R-2,R-3	NONE	Replace one checked logical partition with a proved layout-and-ownership bijection over the same carrier, retiring the old epoch and invalidating old facts.	Zero payload reads, writes, moves, copies, allocations, releases, or behavior calls.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-COPY	CORE_RULE	R-1,R-2,R-3	CORE_COPY	Use the fixed CoreCopy theorem to preserve the source while initializing or trivially overwriting the destination; overlapping ranges follow memmove ordering.	Exactly the declared Copy traffic; zero Clone, producer, Default, destructor, or other behavior calls.	PAPER_RULE_SELECTED
privileged-basis-route-v1	CORE-ZST-LOGICAL	CORE_RULE	R-1,R-2,R-3	NONE	Represent each live zero-sized element by a distinct logical root-epoch-index owner token; address equality or inequality grants no authority.	Zero payload bytes and allocator calls; checked logical length and exact logical destruction remain.	PAPER_RULE_SELECTED
privileged-basis-route-v1	PROTOCOL-OPAQUE-OWNER	ORDINARY_PROTOCOL	R-1,R-3	NONE	Seal representation-selected roots, metadata, live and vacant resources, and invariants behind an ordinary producer-defined checked owner.	Proof state erases; runtime state is exactly the selected algorithm representation.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-EXACT-FOCUS	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Open a sealed owner only under a control-flow judgment that closes, transfers, or disposes every resource on every normal edge.	No runtime focus token; repair traffic is only the algorithm-required work.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-PLAN-DISPOSE	ORDINARY_PROTOCOL	R-1,R-2,R-3,R-4,R-5	DISPOSITION_PLAN	Run statically selected verified disposition over exactly the live subset, close every applicable lease, then release each empty root once.	No destructor pointer, registry, or full-capacity scan; exact generated cost remains unmeasured.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-STORED-BORROW	ORDINARY_PROTOCOL	R-1,R-2,R-3	STORED_BORROW	Index the opaque owner by every retained external root and preserve each borrow leaf through storage, movement, projection, calls, results, and disposition without extending its region.	Static provenance erases; region-free values acquire no lifetime field, table, branch, or relocation check.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-CURSOR-SHARED	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Carry a shared source loan plus an exact remaining-footprint map and yield root-preserving reborrows in frozen order.	O(1) selected cursor state and no intermediate collection or per-element allocation.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-CURSOR-UNIQ	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Partition disjoint unique footprints, yield one bounded child authority at a time, and return the remainder on stop or disposal.	No runtime borrow table on the static unique-owner route.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PROTOCOL-CURSOR-OWN	ORDINARY_PROTOCOL	R-1,R-2,R-3	NONE	Take each yielded owner from the remaining live interval and use verified disposition for the exact unconsumed remainder.	One move per yielded owner; no clone or per-element allocation solely for traversal.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	CALLABLE-CLONE	ORDINARY_PROTOCOL	R-3,R-6	CLONE	Invoke the declared Clone or clone-from contract with exact count, order, effects, result provenance, abort prefix, and environment disposition.	Only explicitly declared Clone work; zero-call outcomes execute no Clone call.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	CALLABLE-PRODUCER	ORDINARY_PROTOCOL	R-3,R-6	PRODUCER	Invoke a producer, mapper, iterator, or conversion behavior under its exact owner, result, effect, failure, and abort contract.	Only declared calls and behavior-owned allocation; no implicit Clone or Default premise.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	CALLABLE-DEFAULT	ORDINARY_PROTOCOL	R-3,R-6	DEFAULT	Invoke exactly the explicitly required Default behavior before replacing the selected live value.	One declared Default call when the exact outcome requires it; empty-owner construction does not use this route.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	CALLABLE-USER	ORDINARY_PROTOCOL	R-3,R-6	USER_BEHAVIOR	Invoke the declared comparator, hasher, predicate, index behavior, key function, or other ordinary callable with exact branch accounting.	Direct monomorphized calls on the static route; no mandatory dynamic dispatch.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	FAIL-CHECKED-ARITH	CORE_RULE	R-1,R-3	NONE	Check every element, byte, layout, capacity, and logical-length calculation before the registered commitment point.	Required checks remain unless machine-proved; no ownership transfer precedes a failing precommit check.	PAPER_RULE_SELECTED
privileged-basis-route-v1	FAIL-ALLOC-EXACT	ADMITTED_ENTRY	R-1,R-3,R-6,F-ALLOC	NONE	Call the one admitted allocator edge with exact success, recoverable failure, and abort dispositions for roots and offered owners.	Exactly the allocation attempts named by the selected outcome; zero calls on allocation-inapplicable routes.	IRREDUCIBLE_GATE_SELECTED
privileged-basis-route-v1	FAIL-RESERVE-FIRST	DERIVED_PROOF	R-1,R-2,R-3	NONE	Complete every recoverable preparation and acquire replacement carriers before the first destructive owner transfer, then relocate infallibly inside focus.	Only selected preparation and direct relocation traffic; impossible unknown-length rollback is not promised.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	EXIT-NORMAL-RESEAL	CORE_RULE	R-3	NONE	Reach the exact registered normal post-state by resealing, transferring, or terminally disposing every named resource.	No runtime exit mechanism beyond selected disposition work.	PAPER_RULE_SELECTED
privileged-basis-route-v1	EXIT-RECOVERABLE-PRECOMMIT	DERIVED_PROOF	R-3	NONE	Return the registered error plus every precommit owner unchanged before any destructive commitment.	Zero rollback traffic unless the exact contract explicitly selects rollback or partial progress.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	EXIT-ABORT-SAFE	CORE_RULE	R-3	NONE	Permit trap without unwind only after proving the registered pre-abort safety invariant and exact call prefix.	No cleanup or unwind work is charged after trap.	PAPER_RULE_SELECTED
privileged-basis-route-v1	NEG-STATIC-REJECTION	NEGATIVE_DISPOSITION	R-1,R-3	NONE	Reject every writer-visible raw initialization, length, alignment, spare-as-T, or unchecked-access request before executable code exists.	No runtime path, branch, helper, or timed arm.	NEGATIVE_DISPOSITION
privileged-basis-route-v1	NEG-LATER-DOMAIN	NEGATIVE_DISPOSITION	NONE	NONE	Preserve an exact dependency on a separately scoped later family instead of crediting the current basis with the excluded contract.	No current-family runtime path or performance credit.	DEPENDENCY_NOT_CLOSED_HERE
privileged-basis-route-v1	NEG-POLICY-CONDITIONAL	NEGATIVE_DISPOSITION	NONE	NONE	Preserve an unresolved owner policy choice and prohibit the excluded or conditional route from counting as a derived capability.	No performance or expressibility credit until the named policy is selected.	OWNER_POLICY_UNRESOLVED
privileged-basis-route-v1	NEG-INAPPLICABLE-CONTEXT	NEGATIVE_DISPOSITION	NONE	NONE	Record that an exact outcome cannot occur in a fully selected payload and policy subcontext, without treating impossibility as an unresolved policy or a positive capability.	No runtime path, authority, allocation, or performance credit.	EXACT_CONTEXT_INAPPLICABLE
privileged-basis-route-v1	NEG-UNKNOWN-LENGTH	NEGATIVE_DISPOSITION	R-3	NONE	Reject a full-rollback claim for a fallible unknown-length producer unless a bound, external buffer, partial-progress result, or abort policy is selected.	No hidden buffering, replay, clone, or pathological rollback simulation.	OWNER_POLICY_UNRESOLVED
privileged-basis-route-v1	FACT-STATE	PROOF_FACT	R-1,R-3,R-6	NONE	Bind a checked live-set or refinement proposition to exact owner version, invalidators, consumers, and final code.	Proof metadata erases; checks remain when proof is unavailable.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	FACT-BORROW	PROOF_FACT	R-1,R-2,R-6	NONE	Preserve exact root, footprint, region, and disjointness provenance through lowering and invalidate it on every incompatible transition.	Proof metadata erases; no runtime lookup on the static path.	PAPER_DERIVATION_SELECTED
privileged-basis-route-v1	PERF-PROTECTED-PENDING	PERFORMANCE_OBLIGATION	NONE	NONE	Reserve the frozen fixed-buffer and append-only-pool controls for unchanged-source, layout, optimized-body, and structural-counter comparison.	No measured or generated-code PASS is claimed before a separately authorized candidate and protocol run.	PENDING_MEASUREMENT
